text,label
Sensitive data exfiltration detected,THREAT
Boot completed successfully,SAFE
Time synchronized with NTP server,SAFE
Background task finished,SAFE
Device connected to Wi-Fi network,SAFE
Background task finished,SAFE
Unusual CPU usage: 70%,WARNING
System update installed,SAFE
Device connected to Wi-Fi network,SAFE
Repeated login failure from 203.0.113.12,WARNING
Screen turned off,SAFE
User system logged in via SSH,SAFE
System update installed,SAFE
Battery level at 95%,SAFE
Background task finished,SAFE
Device connected to Wi-Fi network,SAFE
System update installed,SAFE
Background task finished,SAFE
Unusual CPU usage: 95%,WARNING
Background task finished,SAFE
Sensitive data exfiltration detected,THREAT
Log rotation completed,SAFE
App com.android.settings escalated privileges,THREAT
Time synchronized with NTP server,SAFE
Device connected to Wi-Fi network,SAFE
Background task finished,SAFE
Boot completed successfully,SAFE
Possible DoS pattern detected,WARNING
Repeated login failure from 192.168.0.1,WARNING
App com.bad.actor behaving abnormally,WARNING
Screen turned off,SAFE
Background task finished,SAFE
User alice logged in via ADB,SAFE
Root access granted to john,THREAT
Time synchronized with NTP server,SAFE
App com.android.settings started,SAFE
Repeated login failure from 192.168.0.1,WARNING
User system logged in via ADB,SAFE
Screen turned off,SAFE
Device Storage_USB_3 disconnected unexpectedly,WARNING
High network latency: 300ms,WARNING
App com.bad.actor started,SAFE
Background task finished,SAFE
System update installed,SAFE
Battery level at 20%,SAFE
Repeated login failure from 172.16.42.1,WARNING
Privileged command executed without confirmation,THREAT
App com.bad.actor behaving abnormally,WARNING
System update installed,SAFE
Boot completed successfully,SAFE
High network latency: 300ms,WARNING
Time synchronized with NTP server,SAFE
System update installed,SAFE
Possible DoS pattern detected,WARNING
Battery level at 20%,SAFE
Boot completed successfully,SAFE
App com.android.settings escalated privileges,THREAT
Boot completed successfully,SAFE
Log rotation completed,SAFE
Screen turned off,SAFE
Boot completed successfully,SAFE
App com.android.settings started,SAFE
Boot completed successfully,SAFE
App com.security.monitor started,SAFE
User john logged in via terminal,SAFE
App com.bad.actor started,SAFE
Background task finished,SAFE
User root attempted to disable security,THREAT
Root access granted to system,THREAT
Background task finished,SAFE
Boot completed successfully,SAFE
Unusual CPU usage: 90%,WARNING
Time synchronized with NTP server,SAFE
User alice logged in via graphical,SAFE
User root logged in via terminal,SAFE
Battery level at 20%,SAFE
App com.system.update behaving abnormally,WARNING
High network latency: 1500ms,WARNING
App com.security.monitor started,SAFE
Background task finished,SAFE
Time synchronized with NTP server,SAFE
Log rotation completed,SAFE
Kernel panic occurred at 17:29:12,THREAT
High network latency: 500ms,WARNING
Screen turned off,SAFE
Device connected to Wi-Fi network,SAFE
Malicious app installed: com.android.settings,THREAT
Privileged command executed without confirmation,THREAT
Time synchronized with NTP server,SAFE
Log rotation completed,SAFE
User alice logged in via graphical,SAFE
System update installed,SAFE
Log rotation completed,SAFE
Possible DoS pattern detected,WARNING
Device connected to Wi-Fi network,SAFE
Screen turned off,SAFE
App com.tool.exploit started,SAFE
Background task finished,SAFE
Device connected to Wi-Fi network,SAFE
Screen turned off,SAFE
User alice logged in via terminal,SAFE
Screen turned off,SAFE
System update installed,SAFE
Background task finished,SAFE
Privileged command executed without confirmation,THREAT
System update installed,SAFE
Log rotation completed,SAFE
Log rotation completed,SAFE
Device Storage_USB_3 disconnected unexpectedly,WARNING
Disk I/O threshold exceeded,WARNING
Battery level at 75%,SAFE
App com.security.monitor started,SAFE
Screen turned off,SAFE
User system logged in via console,SAFE
Battery level at 50%,SAFE
Boot completed successfully,SAFE
Device connected to Wi-Fi network,SAFE
Boot completed successfully,SAFE
App com.security.monitor started,SAFE
Root access granted to admin,THREAT
System update installed,SAFE
App com.system.update behaving abnormally,WARNING
Boot completed successfully,SAFE
User john logged in via graphical,SAFE
Screen turned off,SAFE
Repeated login failure from 172.16.42.1,WARNING
Background task finished,SAFE
Filesystem usage high: 20%,WARNING
Screen turned off,SAFE
User alice logged in via terminal,SAFE
App com.system.update started,SAFE
App com.tool.exploit started,SAFE
Boot completed successfully,SAFE
Background task finished,SAFE
Boot completed successfully,SAFE
App com.security.monitor started,SAFE
Background task finished,SAFE
App com.android.settings behaving abnormally,WARNING
Service WifiManager not responding,WARNING
Device connected to Wi-Fi network,SAFE
Screen turned off,SAFE
Boot completed successfully,SAFE
Filesystem usage high: 25%,WARNING
App com.security.monitor started,SAFE
Boot completed successfully,SAFE
Screen turned off,SAFE
User root logged in via graphical,SAFE
Unusual CPU usage: 80%,WARNING
Repeated login failure from 10.0.0.5,WARNING
System update installed,SAFE
Possible DoS pattern detected,WARNING
Filesystem usage high: 90%,WARNING
Background task finished,SAFE
Possible DoS pattern detected,WARNING
Time synchronized with NTP server,SAFE
System update installed,SAFE
Boot completed successfully,SAFE
System update installed,SAFE
Privileged command executed without confirmation,THREAT
User system logged in via graphical,SAFE
Time synchronized with NTP server,SAFE
Background task finished,SAFE
Time synchronized with NTP server,SAFE
Sensitive data exfiltration detected,THREAT
User john logged in via console,SAFE
Time synchronized with NTP server,SAFE
User alice logged in via graphical,SAFE
Device connected to Wi-Fi network,SAFE
Log rotation completed,SAFE
Device connected to Wi-Fi network,SAFE
Root access granted to system,THREAT
Boot completed successfully,SAFE
Background task finished,SAFE
User admin logged in via SSH,SAFE
Log rotation completed,SAFE
App com.system.update started,SAFE
User admin logged in via terminal,SAFE
Log rotation completed,SAFE
Device connected to Wi-Fi network,SAFE
App com.system.update started,SAFE
System update installed,SAFE
User admin logged in via terminal,SAFE
App com.tool.exploit started,SAFE
System update installed,SAFE
Time synchronized with NTP server,SAFE
User root logged in via console,SAFE
Device Keyboard_USB disconnected unexpectedly,WARNING
Boot completed successfully,SAFE
Device connected to Wi-Fi network,SAFE
Screen turned off,SAFE
Time synchronized with NTP server,SAFE
App com.bad.actor behaving abnormally,WARNING
Battery level at 95%,SAFE
User admin logged in via terminal,SAFE
Kernel panic occurred at 17:29:12,THREAT
Malicious app installed: com.tool.exploit,THREAT
Battery level low: 90%,WARNING
App com.bad.actor started,SAFE
Sensitive data exfiltration detected,THREAT
Battery level at 15%,SAFE
Battery level at 25%,SAFE
Kernel panic occurred at 22:17:59,THREAT
Time synchronized with NTP server,SAFE
SELinux policy violation detected,THREAT
Screen turned off,SAFE
Log rotation completed,SAFE
Time synchronized with NTP server,SAFE
Background task finished,SAFE
Device connected to Wi-Fi network,SAFE
SELinux policy violation detected,THREAT
User john logged in via terminal,SAFE
Service AudioDaemon not responding,WARNING
Log rotation completed,SAFE
System update installed,SAFE
Battery level at 50%,SAFE
System update installed,SAFE
Screen turned off,SAFE
Screen turned off,SAFE
Boot completed successfully,SAFE
Boot completed successfully,SAFE
High network latency: 300ms,WARNING
Time synchronized with NTP server,SAFE
Device connected to Wi-Fi network,SAFE
Battery level at 15%,SAFE
Time synchronized with NTP server,SAFE
Background task finished,SAFE
Device connected to Wi-Fi network,SAFE
Device connected to Wi-Fi network,SAFE
Battery level at 15%,SAFE
App com.system.update started,SAFE
Time synchronized with NTP server,SAFE
Screen turned off,SAFE
Time synchronized with NTP server,SAFE
Log rotation completed,SAFE
Battery level at 50%,SAFE
System update installed,SAFE
High network latency: 1500ms,WARNING
Boot completed successfully,SAFE
SELinux policy violation detected,THREAT
App com.bad.actor started,SAFE
System update installed,SAFE
Battery level low: 20%,WARNING
Device connected to Wi-Fi network,SAFE
App com.bad.actor started,SAFE
Battery level at 50%,SAFE
Disk I/O threshold exceeded,WARNING
Device connected to Wi-Fi network,SAFE
Kernel panic occurred at 17:29:12,THREAT
Time synchronized with NTP server,SAFE
User alice logged in via console,SAFE
Time synchronized with NTP server,SAFE
Screen turned off,SAFE
System update installed,SAFE
Log rotation completed,SAFE
Screen turned off,SAFE
Boot completed successfully,SAFE
Battery level at 15%,SAFE
Battery level at 75%,SAFE
Screen turned off,SAFE
Repeated login failure from 172.16.42.1,WARNING
Screen turned off,SAFE
Device connected to Wi-Fi network,SAFE
Service LocationService not responding,WARNING
Time synchronized with NTP server,SAFE
